As of Date,Fiscal Year,Region,Borrower Country,Borrower Country Code,Project ID,Project Name,Procurement Type,Procurement Category,Procurement Method,Product line,Major Sector,WB Contract Number,Contract Description,Contract Signing Date,Supplier,Supplier Country,Supplier Country Code,Total Contract Amount (USD),Borrower Contract Reference Number,Main Loan or Credit;;;;;;;;;
2019-08-07T00:00:00.000,2000,AFR,Angola,AO,P000044,FINANCIAL INSTITUTIO,Implementation Activity,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Financial Sector,1207736,OIL SECTOR STUDY - CONTRCT WITH KPMG,2000-11-20T00:00:00.000,KPMG INTERNATIONAL,United Kingdom,GB,-1600000,KPMG - 11/20/2000,;;;;;;;;;
2019-08-07T00:00:00.000,2000,AFR,Angola,AO,P000044,FINANCIAL INSTITUTIO,Implementation Activity,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Public Admin,1207736,OIL SECTOR STUDY - CONTRCT WITH KPMG,2000-11-20T00:00:00.000,KPMG INTERNATIONAL,United Kingdom,GB,3200000,KPMG - 11/20/2000,;;;;;;;;;
2019-08-07T00:00:00.000,2000,AFR,Burkina Faso,BF,P000306,BF-Ouaga Water Suply (FY01),Preinvestment Activity,CONSULTANT SERVICES,Single Source Selection,IBRD/IDA,Water/Sanit/Waste,1117305,CONSULTANT SERVICES FOR CONTRACTS PREPARATION,1999-06-28T00:00:00.000,ICEA,France,FR,162643.21,18/ONEA/99,;;;;;;;;;
2019-08-07T00:00:00.000,2000,AFR,Burkina Faso,BF,P000276,TRANSPORT SECAL,Equipment, Telecommunications,GOODS,International Competitive Bidding,IBRD/IDA,Public Admin,1119184,SUPPLY  INSTALLATION OF OPTIC CABLE BTWN ABIDJAN  OUAGADOU,1999-08-31T00:00:00.000,CABLES PIRELLI S.A.,France,FR,4124340.34,139/SIT/IF/STS/BF/99,;;;;;;;;;
2019-08-07T00:00:00.000,2000,AFR,Burkina Faso,BF,P000276,TRANSPORT SECAL,Equipment, Telecommunications,GOODS,International Competitive Bidding,IBRD/IDA,Transportation,1119184,SUPPLY  INSTALLATION OF OPTIC CABLE BTWN ABIDJAN  OUAGADOU,1999-08-31T00:00:00.000,CABLES PIRELLI S.A.,France,FR,0,139/SIT/IF/STS/BF/99,;;;;;;;;;
2019-08-07T00:00:00.000,2000,AFR,Madagascar,MG,P052186,MG-Microfinance,Implementation Activity,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Financial Sector,1116602,APPUI AU DEVELOPPEMENT DU RESEAU OTIV (TOAMASINA),1999-09-17T00:00:00.000,DEVELOPMENT INTERNA.DESJARDINS,Canada,CA,0,1/01/10/99/AGEPMF/DID,;;;;;;;;;
2019-08-07T00:00:00.000,2000,AFR,Madagascar,MG,P052186,MG-Microfinance,Implementation Activity,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Public Admin,1116602,APPUI AU DEVELOPPEMENT DU RESEAU OTIV (TOAMASINA),1999-09-17T00:00:00.000,DEVELOPMENT INTERNA.DESJARDINS,Canada,CA,3929843.31,1/01/10/99/AGEPMF/DID,;;;;;;;;;
2019-08-07T00:00:00.000,2000,AFR,Mali,ML,P046651,ML-Regional Power SIL (FY97),Equipment, Transportation,GOODS,International Competitive Bidding,IBRD/IDA,Energy  Extractives,1120523,SUPPLY OF 10 FOUR WHEEL-DRIVE VEHICLES,1999-09-10T00:00:00.000,S.F.C.E.,France,FR,245423.33,1058/DG/SOGEM,;;;;;;;;;
2019-08-07T00:00:00.000,2000,AFR,South Africa,ZA,P035923,ZA-GEF Cape Penninsula SIL (FY98),Implementation Activity,CONSULTANT SERVICES,Quality And Cost-Based Selection,GEF,Agriculture,1116066,INSTITUTIONAL, LEGAL, POLICY, FINANCIAL, SOCIAL AND ECONOMIC,1999-07-06T00:00:00.000,CSIR,South Africa,ZA,-893007.8,WWF-SA-3,;;;;;;;;;
2019-08-07T00:00:00.000,2000,AFR,South Africa,ZA,P035923,ZA-GEF Cape Penninsula SIL (FY98),Implementation Activity,CONSULTANT SERVICES,Quality And Cost-Based Selection,GEF,Industry  Trade/Ser,1116066,INSTITUTIONAL, LEGAL, POLICY, FINANCIAL, SOCIAL AND ECONOMIC,1999-07-06T00:00:00.000,CSIR,South Africa,ZA,446503.9,WWF-SA-3,;;;;;;;;;
2019-08-07T00:00:00.000,2000,AFR,South Africa,ZA,P035923,ZA-GEF Cape Penninsula SIL (FY98),Implementation Activity,CONSULTANT SERVICES,Quality And Cost-Based Selection,GEF,Public Admin,1116066,INSTITUTIONAL, LEGAL, POLICY, FINANCIAL, SOCIAL AND ECONOMIC,1999-07-06T00:00:00.000,CSIR,South Africa,ZA,446503.9,WWF-SA-3,;;;;;;;;;
2019-08-07T00:00:00.000,2000,AFR,South Africa,ZA,P035923,ZA-GEF Cape Penninsula SIL (FY98),Implementation Activity,CONSULTANT SERVICES,Quality And Cost-Based Selection,GEF,Social Protection,1116066,INSTITUTIONAL, LEGAL, POLICY, FINANCIAL, SOCIAL AND ECONOMIC,1999-07-06T00:00:00.000,CSIR,South Africa,ZA,446503.9,WWF-SA-3,;;;;;;;;;
2019-08-07T00:00:00.000,2000,AFR,Zambia,ZM,P003241,URBAN RESTRCT WATER,Implementation Activity,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Public Admin,1116997,URBAN LOCAL GOVERNMENT CAPACITY STRENGTHENING - PHASE II,1999-08-05T00:00:00.000,GRANT THORNTON ASSOCIATES LIMITED,Zambia,ZM,2293892,PHASE II-URB.LOCAL GOV'T CAPAC.,;;;;;;;;;
2019-08-07T00:00:00.000,2000,AFR,Zambia,ZM,P003241,URBAN RESTRCT WATER,Implementation Activity,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Social Protection,1116997,URBAN LOCAL GOVERNMENT CAPACITY STRENGTHENING - PHASE II,1999-08-05T00:00:00.000,GRANT THORNTON ASSOCIATES LIMITED,Zambia,ZM,2293892,PHASE II-URB.LOCAL GOV'T CAPAC.,;;;;;;;;;
2019-08-07T00:00:00.000,2000,AFR,Zambia,ZM,P003241,URBAN RESTRCT WATER,Implementation Activity,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Water/Sanit/Waste,1116997,URBAN LOCAL GOVERNMENT CAPACITY STRENGTHENING - PHASE II,1999-08-05T00:00:00.000,GRANT THORNTON ASSOCIATES LIMITED,Zambia,ZM,-2293892,PHASE II-URB.LOCAL GOV'T CAPAC.,;;;;;;;;;
2019-08-07T00:00:00.000,2000,AFR,Zimbabwe,ZW,P003309,POWER III,Equipment, Electrical,GOODS,Direct Selection,IBRD/IDA,Energy  Extractives,1117856,SPARE PARTS FOR MAJOR OVERHAULS OF THERMAL CYCLES SYSTEMS UN,1999-07-16T00:00:00.000,ANSALDO ENERGIA SPA,Italy,IT,0,G010/25,;;;;;;;;;
2019-08-07T00:00:00.000,2000,AFR,Zimbabwe,ZW,P003309,POWER III,Equipment, Electrical,GOODS,Direct Selection,IBRD/IDA,Public Admin,1117856,SPARE PARTS FOR MAJOR OVERHAULS OF THERMAL CYCLES SYSTEMS UN,1999-07-16T00:00:00.000,ANSALDO ENERGIA SPA,Italy,IT,395933,G010/25,;;;;;;;;;
2019-08-07T00:00:00.000,2000,EAP,China,CN,P038988,CN - HEILONGJIANG ADP,Works, Building,CIVIL WORKS,National Competitive Bidding,IBRD/IDA,Agriculture,1116924,CIVIL WORKS OF GEESE PROCESSING,1999-07-14T00:00:00.000,HEILONGJIANG HARBIN RAILWAY ENGINEERING CO.,China,CN,1205251.59,HW99004,;;;;;;;;;
2019-08-07T00:00:00.000,2000,EAP,China,CN,P038988,CN - HEILONGJIANG ADP,Works, Building,CIVIL WORKS,National Competitive Bidding,IBRD/IDA,Industry  Trade/Ser,1116924,CIVIL WORKS OF GEESE PROCESSING,1999-07-14T00:00:00.000,HEILONGJIANG HARBIN RAILWAY ENGINEERING CO.,China,CN,-1205251.59,HW99004,;;;;;;;;;